EC=0 | test_1630_context_overflow_loop.py | 16 passed, 1 warning in 1.31s
EC=0 | test_18028_content_policy_blocked.py | 5 passed, 1 warning in 1.39s
EC=0 | test_31273_402_not_retried.py | 5 passed, 1 warning in 1.16s
EC=0 | test_413_compression.py | 24 passed, 1 warning in 12.05s
EC=0 | test_860_dedup.py | 8 passed, 1 warning in 9.52s
EC=0 | test_agent_guardrails.py | 35 passed, 1 warning in 2.10s
EC=0 | test_anthropic_prompt_cache_policy.py | 24 passed, 1 warning in 1.63s
EC=0 | test_anthropic_third_party_oauth_guard.py | 7 passed, 1 warning in 5.02s
EC=0 | test_anthropic_truncation_continuation.py | 7 passed, 1 warning in 1.25s
EC=0 | test_api_max_retries_config.py | 4 passed, 1 warning in 5.19s
EC=1 | test_async_httpx_del_neuter.py | 1 failed, 8 passed, 1 warning in 1.70s
EC=0 | test_background_review.py | 10 passed, 1 warning in 1.33s
EC=0 | test_background_review_cache_parity.py | 3 passed, 1 warning in 1.15s
EC=0 | test_background_review_summary.py | 8 passed, 1 warning in 1.30s
EC=0 | test_background_review_toolset_restriction.py | 3 passed, 1 warning in 1.12s
EC=0 | test_callable_api_key.py | 16 passed, 1 warning in 2.05s
EC=1 | test_codex_app_server_integration.py | 
EC=0 | test_codex_multimodal_tool_result.py | 7 passed, 1 warning in 1.11s
EC=0 | test_codex_no_tools_nonetype.py | 6 passed, 1 warning in 1.71s
EC=0 | test_codex_silent_hang_hint.py | 10 passed, 1 warning in 6.70s
EC=0 | test_codex_xai_oauth_recovery.py | 46 passed, 1 warning in 6.83s
EC=0 | test_commit_memory_session_context_engine.py | 6 passed, 1 warning in 1.29s
EC=0 | test_compress_focus_plugin_fallback.py | 1 passed, 1 warning in 1.32s
EC=0 | test_compression_boundary.py | 6 passed, 1 warning in 1.29s
EC=0 | test_compression_boundary_hook.py | 6 passed, 1 warning in 7.70s
EC=0 | test_compression_feasibility.py | 16 passed, 1 warning in 2.66s
EC=0 | test_compression_persistence.py | 6 passed, 1 warning in 4.58s
EC=0 | test_compression_trigger_excludes_reasoning.py | 3 passed, 1 warning in 0.96s
EC=0 | test_compressor_fallback_update.py | 2 passed, 1 warning in 3.47s
EC=0 | test_concurrent_interrupt.py | 2 passed, 1 warning in 1.78s
EC=0 | test_context_token_tracking.py | 5 passed, 1 warning in 3.42s
EC=0 | test_copilot_native_vision_headers.py | 3 passed, 1 warning in 6.74s
EC=0 | test_create_openai_client_kwargs_isolation.py | 1 passed, 1 warning in 2.63s
EC=0 | test_create_openai_client_proxy_env.py | 9 passed, 1 warning in 3.36s
EC=0 | test_create_openai_client_reuse.py | 3 passed, 1 warning in 4.17s
EC=0 | test_credential_pool_interrupt.py | 3 passed, 1 warning in 2.36s
EC=0 | test_credits_notices_toggle.py | 6 passed, 1 warning in 2.54s
EC=0 | test_deepseek_reasoning_content_echo.py | 40 passed, 1 warning in 2.65s
EC=0 | test_deepseek_v4_thinking_live.py | 
EC=0 | test_dict_tool_call_args.py | 1 passed, 1 warning in 3.53s
EC=0 | test_empty_response_recovery_persistence.py | 3 passed, 1 warning in 1.84s
EC=0 | test_exit_cleanup_interrupt.py | 2 passed, 1 warning in 2.06s
EC=0 | test_fallback_credential_isolation.py | 7 passed, 1 warning in 1.45s
EC=0 | test_file_mutation_verifier.py | 39 passed, 1 warning in 2.33s
EC=0 | test_identity_flush.py | 4 passed, 1 warning in 7.78s
EC=0 | test_image_rejection_fallback.py | 15 passed, 1 warning in 1.47s
EC=0 | test_image_shrink_recovery.py | 21 passed, 1 warning in 2.19s
EC=0 | test_infinite_compaction_loop.py | 11 passed, 1 warning in 1.63s
EC=1 | test_init_fallback_on_exhausted_pool.py | 
EC=5 | test_interactive_interrupt.py | 
EC=0 | test_interrupt_propagation.py | 7 passed, 1 warning in 1.78s
EC=0 | test_invalid_context_length_warning.py | 5 passed, 1 warning in 1.94s
EC=0 | test_iteration_budget_race.py | 5 passed, 1 warning in 1.34s
EC=0 | test_jsondecodeerror_retryable.py | 9 passed, 1 warning in 1.12s
EC=0 | test_last_reasoning_per_turn.py | 6 passed, 1 warning in 1.35s
EC=0 | test_long_context_tier_429.py | 15 passed, 1 warning in 1.28s
EC=0 | test_materialize_data_url_cleanup.py | 2 passed, 1 warning in 1.69s
EC=0 | test_memory_nudge_counter_hydration.py | 7 passed, 1 warning in 1.21s
EC=0 | test_memory_provider_init.py | 4 passed, 1 warning in 3.73s
EC=0 | test_memory_sync_interrupted.py | 21 passed, 1 warning in 1.29s
EC=0 | test_message_sequence_repair.py | 16 passed, 1 warning in 1.87s
EC=0 | test_multimodal_tool_content_recovery.py | 15 passed, 1 warning in 1.28s
EC=0 | test_nonretryable_error_html_summary.py | 2 passed, 1 warning in 2.73s
EC=0 | test_notice_spine.py | 15 passed, 1 warning in 1.34s
EC=0 | test_nous_429_fallback_reentry.py | 3 passed, 1 warning in 1.08s
EC=0 | test_openai_client_lifecycle.py | 6 passed, 1 warning in 6.57s
EC=0 | test_partial_stream_finish_reason.py | 9 passed, 1 warning in 5.64s
EC=0 | test_percentage_clamp.py | 11 passed, 1 warning in 1.06s
EC=0 | test_plugin_context_engine_init.py | 3 passed, 1 warning in 1.70s
EC=1 | test_primary_runtime_restore.py | 
EC=0 | test_provider_attribution_headers.py | 13 passed, 1 warning in 7.43s
EC=1 | test_provider_fallback.py | 
EC=0 | test_provider_parity.py | 94 passed, 1 warning in 29.71s
EC=0 | test_real_interrupt_subagent.py | 1 passed, 1 warning in 2.36s
EC=0 | test_redirect_stdout_issue.py | 1 passed, 1 warning in 1.79s
EC=0 | test_repair_tool_call_arguments.py | 21 passed, 1 warning in 1.14s
EC=0 | test_repair_tool_call_name.py | 29 passed, 1 warning in 1.39s
EC=0 | test_retry_status_buffer.py | 7 passed, 1 warning in 1.08s
EC=0 | test_review_prompt_class_first.py | 19 passed, 1 warning in 1.44s
